algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s
ht,deepep_high_throughput,deepgemm_contiguous,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,8,4,256,8,7168,2048,1377.6,1329.6,1469.9,23228.5
ht,deepep_high_throughput,trtllm_fp8_blockscale,no,float8_e4m3fn_block128,bfloat16,fp8_e4m3fn_block128,8,4,256,8,7168,2048,1124.0,1076.5,1305.5,28469.3
