algo,comm_backend,compute_kernel,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s
ht,deepep_high_throughput,deepgemm_contiguous,8,4,256,8,7168,2048,1432.5,1402.9,1646.1,22337.9
ht,deepep_high_throughput,trtllm_fp8_blockscale,8,4,256,8,7168,2048,1224.3,1186.6,1428.7,26137.3
