algo,comm_backend,compute_kernel,quant_timed,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s
ht,deepep_high_throughput,deepgemm_contiguous,no,8,4,256,8,7168,2048,1374.5,1324.0,1454.9,23280.4
ht,deepep_high_throughput,trtllm_fp8_blockscale,no,8,4,256,8,7168,2048,1108.8,1083.2,1524.1,28860.0
