algo,comm_backend,compute_kernel,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s
ll,deepep_low_latency,deepgemm_batched,8,4,256,8,7168,2048,893.5,881.1,915.5,35815.3
ht,deepep_high_throughput,trtllm_fp8_blockscale,8,4,256,8,7168,2048,1256.9,1196.8,1419.2,25460.2
