path,algo,comm_backend,compute_kernel,quant_timed,weight_dtype,input_dtype,act_compute_dtype,tokens_per_rank,gpus,num_experts,top_k,hidden,inter,e2e_us_p50,e2e_us_min,e2e_us_max,tok_s,dispatch_us_p50,compute_us_p50,combine_us_p50,acc_loss_pct
fi_split,ll,nixl_ep_expert_major,identity,no,none,bfloat16,bfloat16,64,8,384,8,7168,2048,140.9,135.7,187.2,3634298.8,92.5,2.6,70.1,nan
fi_split,ll,nixl_ep_expert_major,identity,no,none,bfloat16,bfloat16,512,8,384,8,7168,2048,301.9,293.5,358.6,13567945.6,154.3,2.6,124.4,nan
fi_split,ll,nccl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,8,8,384,8,7168,2048,710.6,682.7,2363.9,90067.8,56.2,533.1,52.5,23.180
fi_split,ll,nccl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,64,8,384,8,7168,2048,1560.5,1212.0,1672.8,328097.4,58.8,1050.7,250.8,23.172
fi_split,ll,nccl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,512,8,384,8,7168,2048,7103.0,6897.1,7254.1,576657.1,147.2,6471.4,327.0,23.155
fi_split,ll,nixl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,8,8,384,8,7168,2048,664.8,641.9,741.9,96267.2,44.5,530.0,47.6,23.180
fi_split,ll,nixl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,64,8,384,8,7168,2048,1307.2,1133.0,1767.6,391662.5,54.8,1013.6,59.8,23.172
fi_split,ll,nixl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,512,8,384,8,7168,2048,6971.7,6922.7,7267.3,587517.1,142.9,6449.5,385.3,23.154
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,8,8,384,8,7168,2048,803.2,782.2,1948.3,79681.3,55.8,649.7,42.4,20.661
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,64,8,384,8,7168,2048,1618.4,1537.3,1815.6,316371.2,60.8,1366.5,125.4,20.658
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,512,8,384,8,7168,2048,9961.7,9554.9,10688.4,411173.6,156.9,9289.2,340.1,20.641
fi_split,ll,nixl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,8,8,384,8,7168,2048,762.2,741.7,1248.4,83968.3,43.9,641.6,49.6,20.661
fi_split,ll,nixl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,64,8,384,8,7168,2048,1561.5,1481.5,2134.8,327882.3,54.6,1345.5,68.0,20.658
fi_split,ll,nixl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,512,8,384,8,7168,2048,9855.9,9413.9,10956.9,415587.8,151.5,8834.7,921.8,20.639
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl_packed,yes,mxfp4_block32,bfloat16,mxfp8_block32,8,8,384,8,7168,2048,899.5,867.1,2647.1,71154.1,155.2,633.9,54.6,20.661
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl_packed,yes,mxfp4_block32,bfloat16,mxfp8_block32,64,8,384,8,7168,2048,1792.9,1636.4,2621.2,285574.0,172.5,1361.3,133.6,20.658
fi_split,ll,nccl_ep_expert_major,mxfp8_mxfp4_cutedsl_packed,yes,mxfp4_block32,bfloat16,mxfp8_block32,512,8,384,8,7168,2048,10836.0,10669.6,11043.1,378000.4,218.4,10203.5,408.0,20.640
fi_split,ll,nixl_ep_expert_major,identity,no,none,bfloat16,bfloat16,8,8,512,10,4096,1024,84.4,82.1,121.9,758581.4,35.6,2.6,38.4,nan
fi_split,ll,nixl_ep_expert_major,identity,no,none,bfloat16,bfloat16,64,8,512,10,4096,1024,140.7,136.0,229.6,3638430.9,93.1,2.6,66.7,nan
fi_split,ll,nixl_ep_expert_major,identity,no,none,bfloat16,bfloat16,512,8,512,10,4096,1024,226.0,223.0,264.6,18120045.9,116.6,2.6,92.5,nan
fi_split,ll,nixl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,8,8,512,10,4096,1024,593.5,564.4,705.3,107837.1,46.2,463.0,78.3,23.037
fi_split,ll,nixl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,64,8,512,10,4096,1024,838.4,806.8,989.0,610675.4,51.7,663.5,40.3,23.130
fi_split,ll,nixl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,512,8,512,10,4096,1024,3180.1,3163.9,3554.8,1287998.5,121.7,2924.4,105.0,23.084
fi_split,ll,nixl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,8,8,512,10,4096,1024,668.4,651.3,1322.6,95753.3,41.1,552.6,46.4,20.572
fi_split,ll,nixl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,64,8,512,10,4096,1024,974.6,953.8,1485.3,525365.3,52.2,836.1,58.9,20.617
fi_split,ll,nixl_ep_expert_major,mxfp8_mxfp4_cutedsl,yes,mxfp4_block32,bfloat16,mxfp8_block32,512,8,512,10,4096,1024,4220.3,4192.9,4405.5,970557.2,122.5,3966.5,140.7,20.582
fi_split,ll,nccl_ep_expert_major,identity,no,none,bfloat16,bfloat16,8,8,256,6,4096,2048,113.0,107.5,1271.3,566251.4,44.3,2.6,52.5,nan
fi_split,ll,nccl_ep_expert_major,identity,no,none,bfloat16,bfloat16,64,8,256,6,4096,2048,144.2,118.0,1068.0,3550821.2,49.5,2.6,62.4,nan
fi_split,ll,nccl_ep_expert_major,identity,no,none,bfloat16,bfloat16,512,8,256,6,4096,2048,186.9,181.8,221.0,21917808.2,87.3,2.6,66.0,nan
fi_split,ll,nixl_ep_expert_major,identity,no,none,bfloat16,bfloat16,8,8,256,6,4096,2048,127.8,118.7,165.5,500751.1,82.6,2.5,70.2,nan
fi_split,ll,nixl_ep_expert_major,identity,no,none,bfloat16,bfloat16,64,8,256,6,4096,2048,87.2,83.4,131.2,5868329.3,37.0,2.6,36.1,nan
fi_split,ll,nixl_ep_expert_major,identity,no,none,bfloat16,bfloat16,512,8,256,6,4096,2048,165.0,162.1,183.2,24820632.5,81.1,2.6,65.9,nan
fi_split,ll,nccl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,8,8,256,6,4096,2048,683.0,652.3,2177.6,93703.2,53.2,480.1,104.3,23.091
fi_split,ll,nccl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,64,8,256,6,4096,2048,845.6,770.8,1630.5,605487.2,55.7,622.1,59.8,23.107
fi_split,ll,nccl_ep_expert_major,fused_moe_nvfp4_cutedsl,yes,nvfp4_block16,bfloat16,nvfp4_block16,512,8,256,6,4096,2048,2910.6,2868.5,3289.3,1407258.4,101.8,2567.7,143.7,23.116
