Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
40.3,12924063392,185392,69712.1,15808.0,1312,179225248,482658.3,cudaMemcpyAsync
10.0,3218560960,329944,9754.9,6624.0,2112,93130400,326473.1,cudaLaunchKernel
8.7,2771934080,1050,2639937.2,2771936.0,384,6872384,1312073.8,cuMemExportToShareableHandle
7.6,2448373056,220352,11111.2,11360.0,3008,2005312,8422.2,cuLaunchKernelEx
7.3,2328115456,4072,571737.6,201392.0,42208,263208736,7316400.5,cuMemSetAccess
4.4,1404323296,24,58513470.7,38017696.0,24085472,133870336,40314765.8,cuMulticastBindMem
4.1,1311628768,108108,12132.6,12480.0,3744,2234784,17194.7,cudaLaunchKernelExC
2.7,874576704,83092,10525.4,3936.0,2528,7975168,58119.0,cudaStreamSynchronize
2.0,644312512,1070,602161.2,360160.0,42016,2532032,473888.1,cuMemImportFromShareableHandle
1.8,582481632,288,2022505.7,1173808.0,27648,16887232,2727495.5,cuLibraryLoadData
1.7,552314688,4052,136306.7,118304.0,28576,1439200,97954.4,cuMemUnmap
1.3,430761536,1564,275423.0,173552.0,4512,25621696,1283039.0,cudaMalloc
1.3,425178848,8064,52725.6,14576.0,64,2680032,98212.1,cuMemRelease
1.3,418668384,3008,139185.0,80896.0,13120,62863872,1641867.4,cuMemCreate
0.9,287203456,4072,70531.3,61408.0,1920,450816,67978.8,cuMemMap
0.8,263472736,240,1097803.1,237232.0,1728,205512480,13250836.5,cudaFree
0.5,175866560,527864,333.2,256.0,64,28416,299.0,cuTensorMapEncodeTiled
0.5,155263840,464,334620.3,101376.0,32320,34466752,2429318.6,cuKernelGetFunction
0.4,142445888,157676,903.4,928.0,128,176256,1029.7,cudaStreamIsCapturing
0.3,90266912,37668,2396.4,2400.0,768,34336,763.6,cudaEventRecordWithFlags
0.3,84794784,365372,232.1,192.0,32,22720,194.2,cuKernelGetName
0.2,80086976,42812,1870.7,1888.0,416,114784,1546.2,cudaStreamWaitEvent
0.2,79480768,11420,6959.8,6720.0,3712,62560,1870.9,cudaMemsetAsync
0.2,50155904,464,108094.6,105760.0,16256,254464,30605.8,cuLibraryUnload
0.1,43721056,464,94226.4,91376.0,38592,188288,21612.5,cuLibraryLoadFromFile
0.1,41290016,428,96472.0,88000.0,58784,485408,42851.5,cuModuleLoadData
0.1,26414144,512,51590.1,3968.0,2656,525664,93042.6,cudaStreamCreateWithPriority
0.1,22089568,128,172574.8,22384.0,448,8878592,971095.1,cuKernelSetAttribute
0.1,19357216,4072,4753.7,3280.0,1088,146048,6098.3,cuMemAddressReserve
0.1,16064960,57008,281.8,224.0,32,17632,244.5,cuKernelGetAttribute
0.0,15956320,24,664846.7,241408.0,131456,1912224,661376.9,cudaIpcOpenMemHandle
0.0,14158112,284,49852.5,8080.0,1952,1740608,199695.2,cudaHostAlloc
0.0,13230112,37776,350.2,224.0,160,15456,317.2,cudaGetDriverEntryPointByVersion
0.0,9649280,1927,5007.4,5088.0,1632,60352,2471.0,cudaEventQuery
0.0,9395296,4032,2330.2,2112.0,832,21600,1234.2,cuMemAddressFree
0.0,9079584,20782,436.9,288.0,128,167744,2968.7,cudaThreadExchangeStreamCaptureMode
0.0,5243296,24,218470.7,38208.0,8416,887456,318782.4,cuMulticastAddDevice
0.0,4427968,304,14565.7,7968.0,4768,330176,32266.0,cudaEventSynchronize
0.0,4371104,4000,1092.8,896.0,288,20480,999.4,cuMemRetainAllocationHandle
0.0,4171808,36,115883.6,18320.0,4224,868256,231082.8,cudaStreamCreateWithFlags
0.0,3536608,1464,2415.7,2080.0,256,12576,1647.2,cudaEventCreateWithFlags
0.0,3520640,224,15717.1,14624.0,12448,50144,4936.9,cuLaunchKernel
0.0,3369056,4032,835.6,224.0,64,190880,9372.6,cuMemGetAllocationGranularity
0.0,2968576,256,11596.0,480.0,192,124256,30491.6,cudaKernelSetAttributeForDevice
0.0,2523872,488,5171.9,1824.0,256,572960,36475.6,cuLibraryGetKernel
0.0,2219328,9647,230.1,192.0,32,50112,605.3,cuGetProcAddress_v2
0.0,1822688,708,2574.4,1296.0,576,48256,3893.9,cudaEventRecord
0.0,1751072,32,54721.0,61088.0,25824,86944,18592.2,cudaLibraryLoadData
0.0,1652096,64,25814.0,18784.0,6688,152000,30910.9,cudaFreeHost
0.0,1340160,20,67008.0,66592.0,27296,113024,20797.7,cuMulticastUnbind
0.0,1049856,16,65616.0,68080.0,39424,85408,16097.3,cudaMemPoolCreate
0.0,994752,8,124344.0,117712.0,98336,153920,22456.5,cuModuleLoad
0.0,979744,704,1391.7,1088.0,416,22656,1269.6,cudaEventDestroy
0.0,874208,24,36425.3,31296.0,22688,68128,14228.7,cudaMemset
0.0,793440,12,66120.0,62544.0,51040,84320,10991.1,cudaMemGetInfo
0.0,773984,16,48374.0,47424.0,26624,96480,16098.6,cudaMemPoolDestroy
0.0,763552,36,21209.8,28160.0,4512,41056,12328.1,cudaDeviceSynchronize
0.0,580896,36,16136.0,18208.0,7552,29280,6382.2,cudaStreamDestroy
0.0,520000,228,2280.7,1824.0,1248,5344,1049.2,cudaGetFuncBySymbol
0.0,433472,20,21673.6,23808.0,8672,43232,10878.7,cudaMemcpy
0.0,411840,228,1806.3,1600.0,832,12064,863.6,cudaStreamGetCaptureInfo
0.0,325056,464,700.6,704.0,256,11488,524.8,cuLibraryGetKernelCount
0.0,293888,464,633.4,672.0,192,960,147.8,cuLibraryEnumerateKernels
0.0,265696,6,44282.7,44624.0,18080,75168,18726.7,cuMulticastCreate
0.0,122624,34,3606.6,3120.0,2048,15488,2228.0,cuInit
0.0,78912,120,657.6,480.0,352,4096,580.3,cudaOccupancyMaxActiveClusters
0.0,75744,128,591.8,384.0,288,1888,404.7,cudaLibraryGetKernel
0.0,49184,4,12296.0,11248.0,8928,17760,3865.8,cudaOccupancyAvailableDynamicSMemPerBlock
0.0,42560,68,625.9,608.0,96,1664,354.7,cudaGetDeviceProperties
0.0,33152,21,1578.7,288.0,96,7904,2452.3,cuModuleGetLoadingMode
0.0,25184,16,1574.0,1488.0,1120,2144,312.5,cudaMemPoolSetAttribute
0.0,10336,16,646.0,608.0,192,1184,258.7,cuMulticastGetGranularity
