Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
0.0,285024,440,647.8,672.0,192,960,156.3,cuLibraryEnumerateKernels
0.0,164256,58,2832.0,2704.0,384,7520,1472.3,cuInit
0.0,147808,4,36952.0,36592.0,22976,51648,15567.8,cuCtxSynchronize
0.0,94912,160,593.2,384.0,288,2144,417.9,cudaLibraryGetKernel
0.0,89856,128,702.0,512.0,64,10720,993.5,cudaGetDeviceProperties
0.0,70944,120,591.2,384.0,320,5280,707.0,cudaOccupancyMaxActiveClusters
0.0,63072,40,1576.8,1504.0,928,2848,424.8,cudaMemPoolSetAttribute
0.0,34368,4,8592.0,7312.0,7072,12672,2726.1,cudaOccupancyAvailableDynamicSMemPerBlock
0.0,34304,33,1039.5,288.0,64,7424,1973.2,cuModuleGetLoadingMode
0.0,28832,148,194.8,160.0,64,512,92.9,cuGetProcAddress
0.0,20768,4,5192.0,5248.0,4864,5408,253.8,cuCtxSetFlags
0.0,19904,33,603.2,544.0,160,1504,295.7,cuMulticastGetGranularity
