backend,workload,input_len,output_len,num_prompts,eager,requests_per_s,total_tok_per_s,output_tok_per_s
native,prefill,1024,1,128,1,5.61,6464.85,718.32
fi_dg,prefill,1024,1,128,1,4.22,4861.50,540.17
