backend,workload,input_len,output_len,num_prompts,eager,requests_per_s,total_tok_per_s,output_tok_per_s
native,decode,128,256,256,1,2.66,3058.88,339.88
fi_dg,decode,128,256,256,1,6.96,8017.80,890.87
fi_nvfp4,decode,128,256,256,1,7.73,8910.54,990.06
