Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
29.2,13227935168,193408,68393.9,16192.0,1312,183741248,491736.3,cudaMemcpyAsync
12.3,5548271200,784192,7075.1,5408.0,2016,16356768,57568.3,cudaLaunchKernel
7.2,3265786144,7624,428356.0,219232.0,38912,265998784,4489209.8,cuMemSetAccess
7.1,3213841376,305,10537184.8,9312.0,6752,117885760,27594318.5,cudaEventSynchronize
6.5,2940956544,1066,2758871.1,2923392.0,256,6547072,1305104.4,cuMemExportToShareableHandle
5.9,2675124864,258064,10366.1,10720.0,2688,2174336,12746.2,cuLaunchKernelEx
4.3,1949760416,139560,13970.8,12544.0,3552,1891968,40842.9,cudaLaunchKernelExC
4.3,1928232288,44,43823461.1,48795840.0,39328,81606944,26672371.0,cuMulticastBindMem
4.0,1792733312,8544,209823.7,126400.0,1984,121995328,2625480.1,cudaMalloc
3.2,1428452928,7624,187362.7,82080.0,2016,98177408,2560000.7,cuMemMap
2.6,1175497568,7032,167164.0,129376.0,736,196521152,2343075.6,cudaFree
2.4,1095762592,6532,167753.0,81552.0,13472,130977184,1815921.9,cuMemCreate
2.0,915967680,440,2081744.7,103936.0,51072,111106592,13468334.6,cuKernelGetFunction
1.5,692549888,1094,633043.8,388512.0,36576,2673184,501873.7,cuMemImportFromShareableHandle
1.3,589476000,97011,6076.4,3968.0,1824,13109792,76562.5,cudaStreamSynchronize
1.3,566302432,217,2609688.6,6048.0,2496,141148096,19016736.9,cudaDeviceSynchronize
1.2,551845856,284,1943119.2,935344.0,27648,17960288,2761342.1,cuLibraryLoadData
0.7,338483616,4052,83534.9,51856.0,25312,1513504,97066.6,cuMemUnmap
0.5,220274944,8088,27234.8,10096.0,64,1029664,57696.3,cuMemRelease
0.4,167160032,189144,883.8,896.0,160,178272,912.4,cudaStreamIsCapturing
0.4,165627456,448812,369.0,288.0,64,48640,303.3,cuTensorMapEncodeTiled
0.4,163078784,849696,191.9,160.0,32,29984,173.9,cuKernelGetName
0.2,98021824,38788,2527.1,2496.0,768,37792,823.9,cudaEventRecordWithFlags
0.2,94612768,45632,2073.4,2080.0,416,133568,1583.7,cudaStreamWaitEvent
0.1,51883776,7596,6830.4,5280.0,1088,2653536,30846.8,cuMemAddressReserve
0.1,48439488,436,111099.7,55744.0,37888,11051904,660098.0,cuModuleLoadData
0.1,46961216,440,106730.0,106480.0,20224,278656,24409.1,cuLibraryUnload
0.1,41961088,440,95366.1,91824.0,42400,196768,22082.1,cuLibraryLoadFromFile
0.1,41630688,532,78253.2,4352.0,2464,889056,150317.5,cudaStreamCreateWithPriority
0.1,40457920,5464,7404.5,7008.0,3648,287872,4636.7,cudaMemsetAsync
0.0,18812928,436,43148.9,9120.0,1952,1537600,150121.3,cudaHostAlloc
0.0,18570688,128,145083.5,22016.0,416,8994976,937719.6,cuKernelSetAttribute
0.0,16870048,24,702918.7,239616.0,148800,2455616,762548.7,cudaIpcOpenMemHandle
0.0,15644992,58072,269.4,224.0,32,24160,242.2,cuKernelGetAttribute
0.0,13442432,38530,348.9,224.0,128,187008,2283.3,cudaThreadExchangeStreamCaptureMode
0.0,13259680,38464,344.7,224.0,160,9760,284.8,cudaGetDriverEntryPointByVersion
0.0,13138304,40,328457.6,65120.0,38400,3999200,947545.1,cudaMemPoolCreate
0.0,10317664,2649,3894.9,3104.0,1056,25952,2349.2,cudaEventQuery
0.0,8731424,40,218285.6,60048.0,7360,788480,306995.3,cuMulticastAddDevice
0.0,8538144,96,88939.0,17024.0,3744,1452160,186319.1,cudaStreamCreateWithFlags
0.0,8453088,4032,2096.5,1888.0,608,82688,1776.3,cuMemAddressFree
0.0,6676896,412,16206.1,13456.0,64,66624,9690.3,cudaMemcpy
0.0,4242336,4000,1060.6,864.0,192,30976,1090.9,cuMemRetainAllocationHandle
0.0,4156288,352,11807.6,448.0,192,193120,33671.5,cudaKernelSetAttributeForDevice
0.0,3962784,1608,2464.4,2112.0,256,14944,1706.5,cudaEventCreateWithFlags
