Time (%),Total Time (ns),Num Calls,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
38.8,12324064512,128388,95990.8,25952.0,1312,176702944,572890.9,cudaMemcpyAsync
9.3,2948745056,1050,2808328.6,2939056.0,448,7179232,1238180.2,cuMemExportToShareableHandle
8.0,2554927872,233980,10919.4,10816.0,2752,1993312,15409.4,cuLaunchKernelEx
7.3,2321434944,4072,570097.0,207552.0,41824,259250816,7116498.1,cuMemSetAccess
5.3,1691120640,100356,16851.2,10336.0,2016,98504864,625573.7,cudaLaunchKernel
5.1,1606590912,24,66941288.0,61380704.0,43442560,111306432,21658014.0,cuMulticastBindMem
4.7,1493666304,305,4897266.6,8896.0,6048,79476928,13435221.2,cudaEventSynchronize
4.2,1324271680,110148,12022.7,11968.0,3648,1856512,21712.7,cudaLaunchKernelExC
2.2,690057856,1070,644913.9,570544.0,40704,3358464,513436.3,cuMemImportFromShareableHandle
1.6,497078016,268,1854768.7,1080144.0,28512,16859168,2710142.7,cuLibraryLoadData
1.6,496538656,3008,165072.7,80528.0,11712,191625216,3508604.0,cuMemCreate
1.5,481386816,4052,118802.3,108816.0,23744,1552192,98894.6,cuMemUnmap
1.5,474135072,236,2009046.9,230480.0,2208,416354496,27086736.5,cudaFree
1.3,426359200,1560,273307.2,174896.0,4704,26226688,1312875.8,cudaMalloc
1.3,408868256,36,11357451.6,19680.0,4160,203369152,47220082.1,cudaStreamCreateWithFlags
1.1,365055520,8064,45269.8,10368.0,64,1558368,81560.6,cuMemRelease
1.0,312822496,73460,4258.4,3776.0,2528,365632,3239.2,cudaStreamSynchronize
0.9,288946368,4072,70959.3,58368.0,1696,1472384,73442.9,cuMemMap
0.6,178114496,537048,331.7,256.0,64,90304,317.7,cuTensorMapEncodeTiled
0.5,162661280,464,350563.1,98304.0,34144,49643648,2708716.7,cuKernelGetFunction
0.4,140684576,160200,878.2,896.0,160,174944,966.2,cudaStreamIsCapturing
0.3,92906592,38788,2395.2,2400.0,736,30624,790.3,cudaEventRecordWithFlags
0.3,85653792,44152,1940.0,1952.0,480,114592,1473.2,cudaStreamWaitEvent
0.2,49765984,464,107254.3,106464.0,19040,247360,28998.0,cuLibraryUnload
0.1,42769312,464,92175.2,89216.0,39680,177408,21728.0,cuLibraryLoadFromFile
0.1,39817408,512,77768.4,4352.0,2368,1039136,144583.6,cudaStreamCreateWithPriority
0.1,35033472,136448,256.8,256.0,32,24224,205.6,cuKernelGetName
0.1,34178144,128,267016.8,21584.0,416,10700128,1368527.9,cuKernelSetAttribute
0.1,28567104,432,66127.6,53968.0,37088,557792,52524.5,cuModuleLoadData
0.1,20107008,4072,4937.9,3488.0,1088,153440,5998.5,cuMemAddressReserve
0.1,17394336,24,724764.0,267408.0,154080,2902624,739276.9,cudaIpcOpenMemHandle
0.0,15224736,58024,262.4,224.0,32,108576,493.7,cuKernelGetAttribute
0.0,14847776,1960,7575.4,7072.0,3680,62432,3502.9,cudaMemsetAsync
0.0,12966048,308,42097.6,7920.0,2016,1484960,168600.8,cudaHostAlloc
0.0,12842784,38464,333.9,224.0,160,14976,298.2,cudaGetDriverEntryPointByVersion
0.0,10205472,2508,4069.2,3104.0,928,19168,2348.9,cudaEventQuery
